"Giorno","Ordini","Fatturato lordo","Sconti","Resi","Fatturato netto","Costi di spedizione","Dazi","Costi aggiuntivi","Imposte","Vendite totali","Day (previous_period)","Orders (previous_period)","Gross sales (previous_period)","Discounts (previous_period)","Returns (previous_period)","Net sales (previous_period)","Shipping charges (previous_period)","Duties (previous_period)","Additional fees (previous_period)","Taxes (previous_period)","Total sales (previous_period)","Orders (previous_period) ","Gross sales (previous_period) ","Discounts (previous_period) ","Returns (previous_period) ","Net sales (previous_period) ","Shipping charges (previous_period) ","Duties (previous_period) ","Additional fees (previous_period) ","Taxes (previous_period) ","Total sales (previous_period) "
"2026-04-21",0,0,0,0,0,0,0,0,0,0,"2026-04-13",4,659.01,0,-260.66,398.35,18.16,0,0,88.89,505.4,-100,-100,,100,-100,-100,,,-100,-100
"2026-04-22",2,375.4,-10.2,0,365.2,11.48,0,0,82.87,459.55,"2026-04-14",1,106.56,0,0,106.56,20.34,0,0,27.9,154.8,100,252.289,,,242.717,-43.559,,,197.025,196.866
"2026-04-23",1,326.23,0,0,326.23,4.1,0,0,72.67,403,"2026-04-15",1,122.95,0,0,122.95,5.74,0,0,28.31,157,0,165.335,,,165.335,-28.571,,,156.693,156.687
"2026-04-24",3,289.34,-6.51,0,282.83,12.3,0,0,64.92,360.05,"2026-04-16",2,253.28,0,0,253.28,4.1,0,0,56.62,314,50,14.237,,,11.666,200,,,14.659,14.665
"2026-04-25",5,633.03,0,0,633.03,28.71,0,0,144.16,805.9,"2026-04-17",2,462.3,0,-81.97,380.33,4.1,0,0,84.57,469,150,36.93,,100,66.442,600.243,,,70.462,71.833
"2026-04-26",1,180.99,0,0,180.99,12.31,0,0,40.6,233.9,"2026-04-18",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-04-27",1,105.74,0,0,105.74,4.1,0,0,24.16,134,"2026-04-19",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-04-28",0,0,0,0,0,0,0,0,0,0,"2026-04-20",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
