"Giorno","Ordini","Fatturato lordo","Sconti","Resi","Fatturato netto","Costi di spedizione","Dazi","Costi aggiuntivi","Imposte","Vendite totali","Day (previous_period)","Orders (previous_period)","Gross sales (previous_period)","Discounts (previous_period)","Returns (previous_period)","Net sales (previous_period)","Shipping charges (previous_period)","Duties (previous_period)","Additional fees (previous_period)","Taxes (previous_period)","Total sales (previous_period)","Orders (previous_period) ","Gross sales (previous_period) ","Discounts (previous_period) ","Returns (previous_period) ","Net sales (previous_period) ","Shipping charges (previous_period) ","Duties (previous_period) ","Additional fees (previous_period) ","Taxes (previous_period) ","Total sales (previous_period) "
"2026-04-13",4,659.01,0,-260.66,398.35,18.16,0,0,88.89,505.4,"2026-04-05",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-04-14",1,106.56,0,0,106.56,20.34,0,0,27.9,154.8,"2026-04-06",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-04-15",1,122.95,0,0,122.95,5.74,0,0,28.31,157,"2026-04-07",1,110.66,0,0,110.66,4.1,0,0,25.24,140,0,11.106,,,11.106,40,,,12.163,12.142
"2026-04-16",2,253.28,0,0,253.28,4.1,0,0,56.62,314,"2026-04-08",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-04-17",2,462.3,0,-81.97,380.33,4.1,0,0,84.57,469,"2026-04-09",2,154.92,0,0,154.92,9.84,0,0,36.24,201,0,198.412,,,145.5,-58.333,,,133.36,133.333
"2026-04-18",0,0,0,0,0,0,0,0,0,0,"2026-04-10",1,81.15,0,0,81.15,4.1,0,0,18.75,104,-100,-100,,,-100,-100,,,-100,-100
"2026-04-19",0,0,0,0,0,0,0,0,0,0,"2026-04-11",2,316.93,0,0,316.93,16.21,0,0,75.76,408.9,-100,-100,,,-100,-100,,,-100,-100
"2026-04-20",0,0,0,0,0,0,0,0,0,0,"2026-04-12",1,179.51,0,0,179.51,5.74,0,0,40.75,226,,,,,,,,,,
